aaltoan01,Mighty Ducks of Anaheim,ANA
abbeybr01,Cincinnati Stingers,CIN
abbotge01,Boston Bruins,BOS
abbotre01,Montreal Canadiens,MTL
abdelju01,Detroit Red Wings,DET
abelcl01,New York Rangers,NYR
abelcl01,Chicago Blackhawks,CHI
abelcl01,Chicago Black Hawks,CHI
abelge01,Detroit Red Wings,DET
abelsi01,Detroit Red Wings,DET
abelsi01,Chicago Black Hawks,CHI
abelsi01,Chicago Blackhawks,CHI
abgrade01,Los Angeles Kings,LAK
abgrade01,Cincinnati Stingers,CIN
abidra01,Nashville Predators,NAS
abidra01,Atlanta Thrashers,ATL
abidra01,Phoenix Coyotes,PHO
abidra01,Pittsburgh Penguins,PIT
abrahch01,New England Whalers,NEW
abrahth01,Hartford Whalers,HAR
abrahth01,New England Whalers,NEW
achtyge01,Detroit Red Wings,DET
achtyge01,Montreal Canadiens,MTL
acombdo01,Toronto Maple Leafs,TOR
actonke01,Washington Capitals,WAS
actonke01,Edmonton Oilers,EDM
actonke01,Montreal Canadiens,MTL
actonke01,New York Islanders,NYI
actonke01,Philadelphia Flyers,PHI
actonke01,Minnesota North Stars,MNS
adairji01,Vancouver Blazers,VAB
adamdo01,New York Rangers,NYR
adamipe01,Czechoslovakia,CZE
adamlu01,Buffalo Sabres,BUF
adamru01,Toronto Maple Leafs,TOR
adamsbi01,Vancouver Millionaires,VML
adamsbi01,Regina Capitals,REG
adamsbi01,Saskatoon/Moose Jaw Sheiks,SMJ
adamsbr01,Atlanta Thrashers,ATL
adamscr01,Pittsburgh Penguins,PIT
adamscr01,Chicago Blackhawks,CHI
adamscr01,Carolina Hurricanes,CAR
adamscr01,Chicago Black Hawks,CHI
adamsgr01,Washington Capitals,WAS
adamsgr01,Philadelphia Flyers,PHI
adamsgr01,Detroit Red Wings,DET
adamsgr01,Hartford Whalers,HAR
adamsgr01,Vancouver Canucks,VAN
adamsgr01,Quebec Nordiques,QUE
adamsgr01,Edmonton Oilers,EDM
adamsgr02,New Jersey Devils,NJD
adamsgr02,Florida Panthers,FLO
adamsgr02,Vancouver Canucks,VAN
adamsgr02,Phoenix Coyotes,PHO
adamsgr02,Dallas Stars,DAL
adamsja01,Toronto Arenas,TOA
adamsja01,Toronto St. Patricks,TRS
adamsja01,Vancouver Millionaires,VML
adamsja01,Ottawa Senators,OTS
adamsjo01,Montreal Canadiens,MTL
adamsjo02,Boston Bruins,BOS
adamsjo02,Washington Capitals,WAS
adamske01,Columbus Blue Jackets,CBS
adamske01,Chicago Blackhawks,CHI
adamske01,Chicago Black Hawks,CHI
adamske01,Florida Panthers,FLO
adamske01,Phoenix Coyotes,PHO
adamske01,Toronto Maple Leafs,TOR
adamske01,Carolina Hurricanes,CAR
adamsst01,Chicago Blackhawks,CHI
adamsst01,Toronto Maple Leafs,TOR
adamsst01,Chicago Black Hawks,CHI
adduora01,Cleveland Crusaders,CLC
adduora01,Indianapolis Racers,IND
adduora01,San Diego Mariners,SDM
adduora01,Minnesota Fighting Saints,MF2
adduori01,Atlanta Flames,ATF
adduori01,Birmingham Bulls,BIR
adduori01,Boston Bruins,BOS
aebisda01,Phoenix Coyotes,PHO
aebisda01,Colorado Avalanche,COL
aebisda01,Montreal Canadiens,MTL
afanadm01,Philadelphia Flyers,PHI
afanadm01,Tampa Bay Lightning,TBL
afflebr01,Vancouver Canucks,VAN
afflebr01,New York Islanders,NYI
afflebr01,St. Louis Blues,STL
afinoma01,Atlanta Thrashers,ATL
afinoma01,Buffalo Sabres,BUF
agnewji01,Vancouver Canucks,VAN
agnewji01,Hartford Whalers,HAR
ahearke01,New England Whalers,NEW
ahernfr01,California Golden Seals,CLF
ahernfr01,Cleveland Barons,CLE
ahernfr01,Colorado Rockies,COR
ahlinru01,Chicago Black Hawks,CHI
ahlinru01,Chicago Blackhawks,CHI
ahokase01,Finland,FIN
aholape01,Pittsburgh Penguins,PIT
aholape01,Calgary Flames,CAL
aholape01,San Jose Sharks,SJS
aholape01,Los Angeles Kings,LAK
ahrench01,Minnesota North Stars,MNS
ahrench01,Edmonton Oilers,EDO
aikendo01,Montreal Canadiens,MTL
ailsbll01,New York Rangers,NYR
aitkean01,New York Rangers,NYR
aitkebr01,Pittsburgh Penguins,PIT
aitkebr01,Edmonton Oilers,EDM
aitkejo01,Boston Bruins,BOS
aitkejo01,Chicago Blackhawks,CHI
aitkejo01,Chicago Black Hawks,CHI
aivazmi01,Edmonton Oilers,EDM
aivazmi01,Detroit Red Wings,DET
aivazmi01,New York Islanders,NYI
alatami01,Phoenix Coyotes,PHO
albelto01,New Jersey Devils,NJD
albelto01,Calgary Flames,CAL
albelto01,Quebec Nordiques,QUE
alberan01,Carolina Hurricanes,CAR
alberan01,Philadelphia Flyers,PHI
alberan01,Vancouver Canucks,VAN
alberan01,Boston Bruins,BOS
albricl01,New York Rangers,NYR
aldcoga01,Toronto Maple Leafs,TOR
aldcoga01,Detroit Red Wings,DET
aldcoga01,Boston Bruins,BOS
aldrike01,Dallas Stars,DAL
alexaar01,Montreal Canadiens,MTL
alexacl01,Toronto Maple Leafs,TOR
alexacl01,Vancouver Canucks,VAN
alexacl01,Edmonton Oilers,EDO
alexeni01,Tampa Bay Lightning,TBL
alexeni01,Chicago Blackhawks,CHI
alexeni01,Chicago Black Hawks,CHI
alfreda01,Ottawa Senators,OTT
aliuak01,Calgary Flames,CAL
allanje01,Cleveland Barons,CLE
allanje01,Cincinnati Stingers,CIN
allenbo01,Boston Bruins,BOS
allenbo01,Edmonton Oilers,EDM
allenbr01,Carolina Hurricanes,CAR
allenbr01,Vancouver Canucks,VAN
allenbr01,Florida Panthers,FLO
allenbr01,St. Louis Blues,STL
allench01,Florida Panthers,FLO
allenge01,New York Rangers,NYR
allenge01,Montreal Canadiens,MTL
allenge01,Chicago Blackhawks,CHI
allenge01,Chicago Black Hawks,CHI
allenke01,Detroit Red Wings,DET
allenpe01,Pittsburgh Penguins,PIT
allenvi01,New York Americans,NYA
alleyst01,Birmingham Bulls,BIR
alleyst01,Hartford Whalers,HAR
allisda01,Montreal Canadiens,MTL
allisja01,Los Angeles Kings,LAK
allisja01,Washington Capitals,WAS
allisja01,Toronto Maple Leafs,TOR
allisja01,Boston Bruins,BOS
allisja02,Nashville Predators,NAS
allisja02,Chicago Black Hawks,CHI
allisja02,Chicago Blackhawks,CHI
allisja02,Columbus Blue Jackets,CBS
allisja02,Calgary Flames,CAL
allisja02,Florida Panthers,FLO
allismi01,Los Angeles Kings,LAK
allismi01,Toronto Maple Leafs,TOR
allismi01,New York Rangers,NYR
allisra01,Philadelphia Flyers,PHI
allisra01,Hartford Whalers,HAR
allumbi01,Chicago Blackhawks,CHI
allumbi01,New York Rangers,NYR
allumbi01,Chicago Black Hawks,CHI
almasre01,Chicago Black Hawks,CHI
almasre01,Chicago Blackhawks,CHI
almasre01,Detroit Red Wings,DET
almonco01,Minnesota Wild,MIN
alzneka01,Washington Capitals,WAS
amadida01,Detroit Red Wings,DET
amadida01,Los Angeles Kings,LAK
ambrope01,Buffalo Sabres,BUF
amodemi01,Ottawa Nationals,OTN
amodemi01,Winnipeg Jets,WIN
amodemi01,Winnipeg Jets,WIJ
amodemi01,Toronto Toros,TOT
amontto01,Chicago Black Hawks,CHI
amontto01,Philadelphia Flyers,PHI
amontto01,Phoenix Coyotes,PHO
amontto01,Chicago Blackhawks,CHI
amontto01,Calgary Flames,CAL
amontto01,New York Rangers,NYR
anderbi01,Boston Bruins,BOS
andercr01,Colorado Avalanche,COL
andercr01,Ottawa Senators,OTT
andercr01,Chicago Black Hawks,CHI
andercr01,Chicago Blackhawks,CHI
andercr01,Florida Panthers,FLO
anderda01,Detroit Red Wings,DET
anderdo01,Montreal Canadiens,MTL
anderea01,Detroit Red Wings,DET
anderea01,Boston Bruins,BOS
anderer01,Calgary Flames,CAL
anderer02,Calgary Tigers,CAT
anderer02,Edmonton Eskimos,EDE
anderer02,Regina Capitals,REG
andergl01,St. Louis Blues,STL
andergl01,New York Rangers,NYR
andergl01,Edmonton Oilers,EDM
andergl01,Toronto Maple Leafs,TOR
anderji01,Los Angeles Kings,LAK
anderjo01,Quebec Nordiques,QUE
anderjo01,Toronto Maple Leafs,TOR
anderjo01,Hartford Whalers,HAR
anderjo02,Vancouver Canucks,VAN
anderjo02,Nashville Predators,NAS
anderjo03,Calgary Tigers,CAT
anderjo03,Victoria Cougars,VC1
anderjo03,Victoria Cougars,VIC
anderjo04,Detroit Red Wings,DET
anderke01,Minnesota North Stars,MNS
anderke01,New York Rangers,NYR
anderlo01,New York Rangers,NYR
andermi01,Tampa Bay Lightning,TBL
andermi01,Hartford Whalers,HAR
andermi01,New York Islanders,NYI
andermi01,Philadelphia Flyers,PHI
andermi01,Buffalo Sabres,BUF
andermu01,Washington Capitals,WAS
anderni01,Nashville Predators,NAS
anderni01,Quebec Nordiques,QUE
anderni01,San Jose Sharks,SJS
anderni01,Calgary Flames,CAL
anderni01,New York Islanders,NYI
anderpe01,St. Louis Blues,STL
anderpe01,San Jose Sharks,SJS
anderpe01,New Jersey Devils,NJD
anderpe02,Washington Capitals,WAS
anderpe02,Quebec Nordiques,QUE
anderpe03,Florida Panthers,FLO
anderpe03,New York Rangers,NYR
anderro01,St. Louis Blues,STL
anderro01,Buffalo Sabres,BUF
anderro01,Alberta Oilers,ALB
anderro01,Los Angeles Kings,LAK
anderro01,Edmonton Oilers,EDO
